pelr0123,item,no.required,not incl vat,incl VAT,,Ordered?,Received?,,,,
,GLA-Q40 12V 250N Compact Fast-Travel Linear Actuator with Encode 50mm Stroke (155mm Installation Length) ,0,79.4,95.28,,,,,Gimson Robotics,,
,"Stainless Steel Motor Mounting Bracket, for 45mm Gearboxes",1,10.8,12.96,,,,,Gimson Robotics,,
,sub total,,,,,,,,,,
,,,,,,,,,,,
,"Encoders EMS22A30-C28_MS6_ND, Digikey",0,39.55,,,,,,Digikey,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,"Circuits from the Lab™ ADL5523 Amplifier 433.92MHz Evaluation Board, digikey, 505-EVAL-CN0555-EBZ-ND",0,36,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,1/4 x 3 inch Slotted Spring Pins (ASME B18.8.2) - 420 Stainless Steel ,0,2.7,,,,,,,,
,APC (Accu Product Code): HSP-1/4-3-A1 £2.70 £2.70 Express - 2 In Stock & Ready To Ship Today   ,0,,,,,,,,,
,M8 x 60mm Cap Head Screws (DIN 912) - Zinc Plated High Tensile Steel (12.9) ,0,0.84,,,,,,,,
,APC (Accu Product Code): SSC-M8-60-12.9-Z £0.84 £0.84 Express - 31 In Stock & Ready To Ship Today   ,0,,,,,,,,,
,M8 x 55mm Cap Head Screws (DIN 912) - Zinc Plated High Tensile Steel (12.9) ,0,0.81,,,,,,,,
,APC (Accu Product Code): SSC-M8-55-12.9-Z £0.81 £0.81 Express - 130 In Stock & Ready To Ship Today,0,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,"Wurth Elektronik Threaded Standoff, M4 Thread, 70mm Body, Steel, Female/Female RS Stock No. 176-8278 Brand Wurth Elektronik Mfr. Part No. 970700471 ",6,£1.198,,,,,,Rsonline,https://uk.rs-online.com/web/p/products/1768278/,
,"RS PRO, M4 Brass Threaded Insert diameter 5.6mm Depth 7.95mm RS Stock No. 278-556 Brand RS PRO , use 5.7mm drill,",8,£0.15,,,,,,Rsonline,https://uk.rs-online.com/web/p/products/0278556/,
,Essentra CPVC RS Stock No. 265-2259 Brand Essentra Mfr. Part No. SS 8 2L ,8,£0.1,,,,,,Rsonline,https://uk.rs-online.com/web/p/products/2652259/,
,"RS PRO Pozidriv Pan Steel Machine Screws DIN 7985Z, M4x10mm RS Stock No. 560-681 Brand RS PRO ",12,£0.04,,,,,,Rsonline,https://uk.rs-online.com/web/p/products/0560681/,
